                   ¹               t_otn                   U                   V                   R                 Phi               Psi_U               Psi_V               Psi_R             Psi_Phi                   H                Teta           Teta_grad               t_abs
                   0                   0                   0               29800           1.496e+11                   0         717.2484308         1329.809601     0.0002498094519                   0      2.22502905e-10       -0.3891983948        -22.29942545                   0
                   1               0.001         27.71464283         29811.21489     1.496004825e+11      0.006946080695         717.7506952         1319.846194     0.0002492818289                   0     2.228588425e-10       -0.3877629653         -22.2171814         34863.71329
                   2               0.002         55.63327194         29822.20982     1.496019348e+11       0.01389470447         718.2055361         1309.880978     0.0002487512804                   0     2.232127816e-10       -0.3863243139        -22.13475274         69727.42658
                   3               0.003         83.75384749         29832.98289      1.49604364e+11        0.0208457746         718.6128676          1299.91468      0.000248217874                   0     2.235636121e-10       -0.3848824525        -22.05214017         104591.1399
                   4               0.004         112.0743002         29843.53221     1.496077771e+11       0.02779919351          718.972608         1289.948028     0.0002476816773                   0     2.239106678e-10       -0.3834373937         -21.9693444         139454.8532
                   5               0.005         140.5925318         29853.85592      1.49612181e+11       0.03475486286         719.2846802         1279.981749      0.000247142759                   0     2.242548369e-10       -0.3819891507        -21.88636619         174318.5664
                   6               0.006         169.3064147         29863.95217     1.496175825e+11        0.0417126835         719.5490117         1270.016572     0.0002466011879                   0     2.245963415e-10       -0.3805377377        -21.80320635         209182.2797
                   7               0.007         198.2137928         29873.81914     1.496239885e+11       0.04867255551         719.7655349         1260.053228     0.0002460570338                   0     2.249325171e-10       -0.3790831695        -21.71986573          244045.993
                   8               0.008         227.3124816         29883.45503     1.496314057e+11       0.05563437821         719.9341865         1250.092448     0.0002455103665                   0      2.25265806e-10       -0.3776254615        -21.63634521         278909.7063
                   9               0.009          256.600268         29892.85806     1.496398406e+11       0.06259805016         720.0549083         1240.134962     0.0002449612567                   0     2.255962084e-10       -0.3761646301        -21.55264574         313773.4196
                  10                0.01         286.0749113         29902.02649     1.496492999e+11       0.06956346917         720.1276465         1230.181502     0.0002444097756                   0     2.259206155e-10       -0.3747006924        -21.46876829         348637.1329
                  11               0.011         315.7341429         29910.95859     1.496597901e+11       0.07653053234         720.1523523           1220.2328     0.0002438559945                   0     2.262410259e-10       -0.3732336662        -21.38471388         383500.8462
                  12               0.012         345.5756667         29919.65264     1.496713174e+11       0.08349913606         720.1289818         1210.289589     0.0002432999856                   0     2.265563293e-10       -0.3717635702        -21.30048358         418364.5595
                  13               0.013         375.5971596         29928.10698     1.496838883e+11       0.09046917602         720.0574958           1200.3526     0.0002427418213                   0     2.268658594e-10        -0.370290424        -21.21607852         453228.2728
                  14               0.014         405.7962716         29936.31994     1.496975089e+11        0.0974405472         719.9378599         1190.422567     0.0002421815745                   0     2.271720589e-10       -0.3688142477        -21.13149985         488091.9861
